clean_content,Aspek,Sentimen
selamat pagi pak guru yang paling kamu benci sama dia aja udah cukup kok buat kamu yang suka sama kamu itu kayak gimana sih rasanya kalau udah ada yang bisa bikin kamu bete hari ini saya akan tetap,Kualitas,Negatif
wkwkwk marketing yahudi gratis ongkir tidak ada cash back apapun mau pakai promo apapun aku cinta team marketing tokopedia,Harga,Negatif
barang dan toko yang sama tokopedia ongkir mahal 44rb toko orange ongkir hanya 6rb tokopedia tidak bisa cod toko orange cod terus tokopedia voucher nya nipu transaksi di batalkan sistem toko orange voucher nya asli donk ayo pindah ke toko orange semua,Pelayanan,Positif
aplikasi penipu kan saya lagi buka gogle chrome ad iklan nyepin sudah terus gue dapat vocher 400 000 tapi harus donload aplikasi ini sudah di download tidak ad nya vocher,Kualitas,Netral
wah bagus sekali aplikasi nya bisa belanja dirumah kalau lagi mager terus ada gratis ongkir aku beli casing 25 rb jadi 15 ribu pokonya aku mau belanja sepuasnya nya terus kata temen temen tidak bagus loh bilang kayak gini tidak bagus aplikasinya kan kata rosul pernah menggajarkan bila kalian membeli sesuatu dari yang jelek harus bersyukur masih untung kita di kasih sama tokopedia pokoknya kalau kalia ada penipuan itu lagi di uji oleh alloh swt maaf saya ceramahin kalian saya lidiya kls 6 a,Pelayanan,Positif
ini icomers gilaa kali ya orng mau belanja di batalin karna melanggar aturan melanggar ap bangsattt ini saya menggunakan saya prakerja yang pasti sudah di verifikasi data saya gilaa kali ni ya tidak usah belanja di tokopediaaa,Pelayanan,Netral
ini kenapa saya beli barang barang nya lama tidak datang sudah say sa tunggu sampai berbulan bulan tapi barangnya tetap tidak datang,Kualitas,Negatif
aplikasi php pembohong traktiran pengguna baru dibatalkan otomatis padahal saya sudah bayar ini apk merugikan konsumen nyesel pakai apk bgini,Kualitas,Negatif
saya harapkan kedepannya agar semua fitur pendukung khususnya rumah tokopedia dapat dibuatkan terpisah add on dalam sistem pengaturan dalam aplikasi tokopedia dengan tujuan dapat di update tersendiri manual bukan otomatis hal ini saya maksudkan dikarenakan sampai sekarang rumah tokopedia selalu dalam gangguan dan sangat menggangu dalam proses transaksi tolong diperhatikan dan diperbaiki demi keamanan dan kenyamanan semua pengguna terkhusus untuk pembeli saja buyer only not seller terimakasi,Pelayanan,Positif
kenapa setiap pakai promo saya selalu tidak bisa ya kayak promo kupon gratis ongkir mohon untuk di jelas kan terima kasih,Harga,Positif
kenapa saya kasih bintang 1 sebab kurir rekomendasinya lelet banget masa pengiriman bisa sampe 6 hari kalau bisa pengiriman rekomendasinya jangan pakai jne dan sicepat mereka jasa pengiriman terburuk dan terlelet barang banyak di molorin nunggu sampai batas maksimal waktu penerimaan baru di kirim parah,Pelayanan,Positif
setiap kali menggunakan voucher potongan 50rb yang pengguna baru selalu dibatalkan oleh sistem,Harga,Netral
tokopedia sekarang tidak jelas udah gtu pakai instan walau pesan malam besoknya belom tentu di kirim males lah instal aplikasi tokopedia buang2 duit ongkos instan kaya reguler dan udah 3x bgitu mulu percuma komplen ke care tokopedia tidak ada respon salahnya tokopedia dulu pakai instan bakalan batal otomatis kalau seler tidak kirim tepat waktu ini batal otomatisnya berhari2 kita bayar ongkos instan looh bisa sampe 30rb sd 40rb kalau di kirim berhari2 sama aja gratis ongkir mendingan ke lazada sekalian,Pelayanan,Netral
pengalaman pertama beli barang 2 kali dibatalkan alasannya promo tidak berlaku lha kalau tidak berlaku ngapain ditampilkan udah gitu dana kembali tidak 100 lagi rasanya habis di khianatin pacar,Kualitas,Negatif
tokopedia ini sangat membantu ap liat liat ke bwh kn sudah bilang apk ny bagus,Pelayanan,Positif
aplikator yang terbaik harus bisa memilah mana reseller toko online yang bernilai atau tidak yang hanya menumpang mencari untung dg merugikan customer sudah seharusnya ditenggelamkan karakter dan nilai jual reseller mempengaruhi perfoma aplikasi good job tokopedia semoga semakin mengakar dan membumi,Pelayanan,Positif
kecewa banget di tuduh melakukan kecurangan padahal akun beda nomer beda email beda hp juga beda bisa bisanya bilang melakukan kecurangan saya daftar bareng tetangga dan bayar ke alfamart bareng bisa2nya punya saya di batalin pihak toko pedia tidak konsisten banget andain promo,Pelayanan,Negatif
ulasan saya yang sebelum ini sepertinya dihapus saya rivew sesuai yang saya pakai tokopedia sekarang sudah tidak sebagus duluh aplikasi sekelas tokopedia tapi pelayanan tidak bagus banyak fitur yang duluh ada tapi sekarang dihilangkan,Pelayanan,Positif
ini maksa banget harus pakai pay later mau ganti promo tidak bisa ceklistnya d pencet malah masuk paylater gbs d ganti parah nih,Harga,Negatif
lupa password nomor tidak aktif hilang dan mau ganti nomor aja dipersulit kan bisa verifikasi melalui email tod ngentod anda kan bisa mengirim kode otp lewat email sudah jelas email sama,Kualitas,Netral
bagus baget apk nya discount sama cashbacknya gede2 tidak tanggung2 pokoknya apalagi buat pengguna baru sneng banget trima kasihh,Harga,Positif
lumayan kecewe soalnya dari toko nya harga ny lain pas nyampe juga lain misal aku beli sepatu harga 100rb 22rb eh pas nyampai malah jadi 135 kan kecewa untuk update tolong di tambah vitur checkout biar bisa liat harga aslinya pas barang sudah nyampe,Pelayanan,Negatif
seneng banget belanja di tokopedia tiap bulan selalu dapet cashback atau diskon buat belanja semoga selalu dipertahankan dan ditingkatkan lagi,Harga,Netral
sudah nggak ada yang menarik di tokopedia nggak pernah ada cashback klopun ada tidak seberapa cashback tidak bs digabung sama gratis ongkir maleeeslah pokoknya belanja di tokopedia akun tokopedia saya yang satu smp saya hapus mending dishope belanja tidak pakai minimal,Pelayanan,Netral
tidak kuatttt asik bangetttt belanja di tokpeddd banyak cashback juga parahh sihhh gilaaa,Harga,Negatif
mkin update mkin berat slalu muncul download proses saat membuka saldo transaksi n menu buka toko ndk kek seri sblumny kalau memang update ndk terlalu pnting hnya bkin berat firur bwt ap tidak penting jangan dpikir koneksi dseluruh wilayah indo sama yh mohon diperhatikn,Pelayanan,Netral
gimana ni dari pihak tokopedia mana tanggung jawab nya ngasih kurir rekomdasi tapi paket tidak pernah sampe sudah lima kali paket gagal terus pembatalan langsung dari sistem tanpa ada pemberitaun hapus z kurir anter z kalau ngirim tidak pernah sampe tujuan,Pelayanan,Negatif
saya sbg pengguna baru di tokopedia merasa kecewa barang yang tadi y diskon pengguna baru pas mau bayar di indomaret barang saya tiba2 di batalkan sedangkan transaksi di indomaret berhasil dan jadilah saldo tokopedia kalau memanng tidak bsa menggunakan vocer diskon batalkan saja jangan sepihak gitu overall kecewa sih mnding toko oren diskon bwneran,Pelayanan,Negatif
tolong kepada pihak developer setiap saya mau ambil promo kenapa selalu gagal transaksi nya kalau emang tidak mau kasih promo tidak ush jangan bohong,Harga,Negatif
aplikasi yang bagus untuk berbelanja dan terima kasih sudah menjadi bagian dari club kebanggaan kami yaitu menjadi sponsor persib bandung,Kualitas,Positif
setiap mau verifikasi pembayaran selalu ngebug mau melanjutkan verifikasi pasti disuruh hubungi cs tidak ada fitur lanjutkan pembayaran yang ada hanya batalkan transaksi banyak toko yang tiba2 cancel proses sangat lambat bahkan sampai 4hari baru diproses baru masa proses belum dikirim tidak ada fitur untuk melakukan pengaduan untuk toko tsb banyak toko yang mengirimkan barang tidak sesuai dengan produk yang dipesan mau komplain eh di aplikasi sudah selesai tidak ada fitur video unboxing untuk kami comp,Pelayanan,Negatif
baru ini order melalui tokopedia paket aku belum sampai diaku melebhi estimasi pngriman biasanya tidak pernah ky gni tapi belanja kli ini di tokopedia dengan kasus sprti itu jadi trauma mndg belnja di ecomerce lain aplg ad grnsi trima uang bila barang blm sampai melebihi estimasi pusing mkirin berhari2 blm ad info kurir rekomendasi tokopedia mngecewakan,Pelayanan,Positif
ongkirnya masih mahal ke samarinda meski sudah pakai voucher gratis ongkir dan tidak bisa memakai 2 voucher dalam satu kali checkout,Harga,Negatif
pesanan saya dibatalkan sistem karena terindikasi curang padahal saya tidak melakukan apapun dan cuman pesan biasa emang jelek nih aplikasi niatnya mau majuin startup dalam negeri tapi kalau pelayanannya begini mending pindah ke aplikasi sebelah bye bye,Pelayanan,Negatif
buruan download mumpung banyak promo ya guys sebelum ketinggalan hadiah menarik lain ya,Harga,Netral
setiap buka menu nunggu download dulu ujung2nya sedang ada gangguan di rumah tokopedia jadi malessssss sistem cod juga ribet banyak aturan,Kualitas,Positif
aku mau komentar komentarnya gini pas aku mau buka aplikasi tokopedia mungkin tokopedia nya udah lama gitu harus di update dua kali kan itu harus memerlukan data diponsel jadi kan ngeluarin data mulu belum aja belanja udah keluar uang parah v,Pelayanan,Negatif
kenapa dibagian keranjang hanya dibatasi 50 saya rasa lebih baik dipertambah soalnya biar konsumen punya pilihan lagi kak semoga next update bisa ditambah terima kasih,Kualitas,Positif
saya melakukan pesanan di tokopedia sudah seminggu blm dateng pilihan ajukan komplain sangat tidak efisien terlalu lama kebanyakan kata2 by va dan step yang lama nunggu 3hr lah setelah 3hr nunggu kroscek expedisi lah dana nya lama di balikin padahal status pengiriman sudah ada nama kurir terhenti gada status apa2 lagi tolong perbaiki fiturnya dana kembali saya akan uninstall aplikasi ini,Pelayanan,Positif
alhamdulillah sudah melakukan transaksi di tokopedia dengan lancar dan pelatihan sudah selesai mudah mudahan cepat muncul di dasboard prakerja sertifikatnya saya turunkn bintangnya jika ada kendala di prakerja terimakasih tokopedia,Pelayanan,Positif
tidak tau kenapa bbrapa bulan belakangan saat mau msuk ke tahap pembayaran selalu eror page bukan hanya sekali sudah saya upgrade juga sama pdahal sudah chat sama penjual sudah tanya2 tapi tidak bisa bayar terus di coba ke toko yang lainnya bisa kenapa ya,Pelayanan,Negatif
emang sudah tidak layak ini tokopedia harga lebih mahal pelayanan kurang cs tidak ada d suruh chat ama robot respon 1 jam baru d balas pengembalian dana lamaaanyaaaa tidak kaya lainnya transaksi batal langsung balik dana kalau ada ratin d bawah 1 layak untuk tokopedia,Pelayanan,Negatif
promo hanya bohongan giliran udah dibayar malah dibatalkan sistem liat review emang banyak yang blg bgitu juga jelek uninstall aja,Harga,Negatif
enak nih kalau jualan di sini seller toko selalu di untungkan mau nipu mau produk tidak sesuai laporan dari pembeli tidak ada gunanya hub cs tokopedia yang jwb nya boot dan blesan nya pakai template saya sebagai pembeli merasa sangat di rugikan makanya tidak lagi2 pakai aplikasi ini untuk belanja mending pakai shopee cs nya fast respon dan bukan boot yang melayani komplain pembeli,Pelayanan,Netral
aplikasi yang sangat bagus wajib download bagi prngguna baru dapet barang rp 0 sangat recomended kalau nggak download nyesel deh,Kualitas,Positif
bagaimana mau bersaing dengan shopee sedangkan promo promo semuanya tidak bisa dipakai dibatalkan terus,Harga,Negatif
tolong tokopedia kenapa saya tidak bisa top up gopay pakai saldo tokopedia saya habis transaksi tapi dibatalkan trus mau cari barang yang sama tapi beda toko tapi uang saya kurang jadi saya tambah pakai gopay tapi saat mau top up gopay tidak ada pembayaran lewat saldo tokopedia mohon bantuannya,Pelayanan,Positif
kenapa sekarang ngga bisa gratis ongkir jadi ngga bisa jajan di tokopedia sekarang kemahalan di ongkir,Harga,Positif
akun sudah mau platinum dikit lagi jadi males banget pakai apk ini pengiriman sudah kaya jaman onta 2024 belanja online pakai apk ini lama nya pakai banget mending pakai orange estimasi antar kota hanya 3 hari itu jg sering lebih awal dari estimasi kalau lewat estimasi dapet voucer kompensasi ini tokopedia parahhhhh langsung uninstal aja fokus pakai orange,Pelayanan,Negatif
event traktiran rp 0 cuman terbatas 1 alamat dan suami istri tidak bisa mengikuti event nya percuma di download kalau di awal pemakaian pun berkendala uninstall lebih baik,Kualitas,Positif
tolong ongkirnya jgan kemahalan sama sering tidak merespon keluar laporkan ok paling malas itu yang keluar tolong ongkir jangan kemahalan sama aplikasinya diperbaiki lagi aqu kasih bintang 2dulu ntr kalau sudah membaik kasih,Pelayanan,Positif
gajelas banget nyediain voucher tapi pas udah bayar malah di refund dengan alasan melakukan kecurangan padahal udah lama tidak pakai terus baru mau pakai,Kualitas,Negatif
ini udah di bayar di batalkan sistem dengan alasan tidak sesuai syarat ketentuan terus uang yang sudah di bayar kemana ini mau chat admin di aplikasi masa muter terus loading nya mau pakai wifi atau data seluler apa uangnya ilang begitu aja,Pelayanan,Negatif
sayang sekali admin tokopedia korupsi uang pengembalian dana pembelian bayar tagihan rp 41 000 beli barang total yang di tagih tetapi uang di kembalikan rp 23 000 rupiahtidak jelas banget kapok saya harap yang lain jangan beli di tokopedia,Pelayanan,Negatif
amplikasi yang sangat mengecewakan bayar pajak kendaraan tahunan melalui amplikasi tokopedia sangat buruk bukti bayar sudah ada namun belum menerima sms link stnk dan lebih parahnya lagi nomor yang tertera di tokopedia tidak bisa di hubungi amplikasi buruk,Pelayanan,Positif
klw kasih promo yang jelas donk udah oke sudah bayar eh tiba2 batal otamatis kan aneh php uninstal ajhhh,Harga,Netral
gratis ongkirnya sekarang ribet sekarang produk min 50k hanya dapat gratis ongkir max 20k produk min 100k baru dapat gratis ongkir max 40k sangat disayangkan,Harga,Netral
woy apa gegara saham kamu turun jadinya tidak bisa gabungin gratis ongkir sama vocer kesbek lol anjir gausah adain event vocer kesbek sekalian kalau gabisa gratis ongkir dibarengin vocer mah,Harga,Negatif
untuk gratis ongkir di event seiring diubah di mulai dari kuotanya yang dikurangi sampai minimal barang yang di chekout ditambah mengecewakan,Harga,Negatif
sangat membantu dalam mencari barang dan buat berbelanja tolong promo topednya jangan dibatasi,Harga,Positif
4 kemungkunan orang mendownlod tokopedia 1karna terpaksa ya mungkin ada yang harus downlod tokopedia karna gam yang di downlod di chrome browser seperti contoh gta 5 mobile 2 karna traktiranya kan di toko pedia ada traktiran kira kira 3x kadang karna itu 3 karna sengaja ya mungkin ada yang pengin downlod tokopedia ya karna belanja online 4 karna si plastik v,Pelayanan,Netral
untuk promo 0 pengguna baru dibatalkan karena ada kesamaan blablabla lagian juga beda orang beda device itu juga kakak saya yang pakai artinya 1 rumah gaboleh memiliki lebih dari 1 tokopedia yaudah mending pakai yang sebelah aja tuh yang oranye,Pelayanan,Netral
transaksi setelah di bayar di batalkan sistem terus sudah ke tokopedia care tapi tidak ada solusinya percuma saja promo voucher ada tapi tidak bisa di pakai saya kecewa dengan tokopedia sekarang sudah tidak seperti dulu lagi,Pelayanan,Negatif
nih tidak papa ya sayakasih bintang tigak soal nya benar atau tidak pengguna baru dapet harga gratis,Harga,Negatif
susahnya dapet kupon yang cashbacknya lumayan sekarang kbanyakan akun klonengan di tokopedia atau kuotanya dipangkas abis dari sebelum gabung ma gojek,Harga,Netral
cashback tidak masuk kenapa transaksi tidak di batalkan dan kenapa sewaktu memakai kupon sengaja di biarkan bisa dam muncul apa hanya sekedar mengambil biaya admin saja kah,Harga,Negatif
ini voucher ongkir gratis hanya pakek gosend aneh hello gosend hanya bisa di pakai di pulau jawa pelanggan ada diluar jawa juga banyak pantas shopee makin banyak penggunanya lah tokopedia untuk rakyat sendiri pelit banget,Harga,Positif
hari ini update yang kedua kalinya saya kasih bintang 5 karena saya yang jauh di daerah timur order barang melalui aplikasi tokopedia sangat membantu karena proses pengiriman sangat cepat namun saja ongkirnya terlalu mahal padahal saya order barang nya banyak karena saya di daerah timur seller oleh karena itu saya minta kepada pihak tokopedia agar kami di daerah timur ongkirny jangan terlalu mahal,Pelayanan,Positif
maaf terlalu ribet mau daftar belasan x verifikasi error terus kembali di awal daftar ketika sudah berhasil malah gagal terus masukkan pin tolong di perbaiki lagi masala bug aplikasinya,Kualitas,Positif
kalau emang udah pernah pakai promo kasih tau lah biar tidak ada pilihan promonya lah ini orang udah checkout baru dibatalin padahal emang ada pilihan promonya sebelum checkout kocak banget nih aplikasi,Kualitas,Netral
kebijakan bulan november 2022 mah kagak bijak masa tidak bisa pakai voucher gratis ongkir bareng voucher diskon atau cashback ampasss,Harga,Negatif
kalau aplikasi ini benar2 buatan indonesia saya sangat mendukung benar2 mendukung milik pribumi nahhhh saya kasih bintang 5,Kualitas,Netral
toko pedia tidak bisa diandalkn kenspa pesanan saya salah pengiriman saya minta ke zne j t ninja sicepat ko malah pakai estimasi anter ajaa kacau garut tidak ada anter aja boooosss kalau garut selatan gimana nih uang sudah masuk kalau tidak nyampe pesanan saya tolong uang saya kembalikan boss,Pelayanan,Positif
hallo saya selaku peserta prakerja gelombang ke 15 saya sudah menyelesaikan proses pelatihan dan menunggu sertifikat agar muncul di dashboard kartu prakerja saya terimakasih pelatihan yang disediakan oleh tokopedia mudah di pahami dimengerti materinya sukses terus buat tokopedia aamiin,Pelayanan,Positif
liat harga hp sendiri di langsung laku harga hp 4 jt di cek di langsung laku hanya 1 3 rugi lah terlalu ambil untung banyak nih online shop parah,Harga,Negatif
banyak promonya dan tidak bohong kayak sebelah suka banget buat tokopedia terus pertahankan kualitasnya,Harga,Negatif
saya adalah peserta pelatihan prakerja gelombang 15 saya puas membeli pelatihan di bukalapak di kelas skill academy proses mudah cepat dan memuaskan saya ucapkan terima kasih untuk bukalapak dan skill academy kelas ini sangat bermanfaat mudah dipahami dan dimengerti,Pelayanan,Positif
mengecewakan saya baru aj bayar di alfamart saldo saya langsung di kembalikan voucher ongkos kirim nya langsung menghilang wkwkwkkww aneh banget ni aplikasi,Kualitas,Negatif
aplikasi ini saat bermanfaat sesuai kebutuhan saat pandemi seperti sekarang ini bravo tokopedia terus dukung karya anak bangsa,Kualitas,Positif
aplikasi belanja nomor 1 se indonesia tidak ada lawan ngapa liat liat bawah,Kualitas,Netral
aku pengguna baru dari tokopedia dapet banget vocher dan potongan lainnya aku lagi beli emina lip mask dan wow khusus pengguna baru aku nggak bayar sama sekali alias rp0 temenku dan kakaknya juga penggun baru udah 2 kali order ditokopedia dan puas hasilnya aku ikutan deh terimakasih yah tokopedia semoga tokonya semakin maju dn sukses aamiin borahe,Pelayanan,Positif
bagus njir samapai aku belli baju sama sandal tinggi dk bayar ini ad kemarin saya di kasih geratis sma ongkirnya,Harga,Positif
jelek bagus aplikasinya buat belanja enak dari aplikasi ini,Kualitas,Positif
buruk banget sistem tokopedia pengguna baru tapi tidak bisa pakai voucher2 promonya anehhhhhhhhh gausa bikin promo kalau sistemnya tidak jelas mending shopee jelas tidak ribet,Harga,Negatif
jangan download nanti kalian bakalan nyesal aplikasi tipu2 masuk sms promo ke hp katanya ada power bank gratis ongkir ternyata setelah di download tidak bisa claim voucher alasan jaringan toko error dan lagi bermasalah kalau error dan bermasalah kenapa bisa di brosing cek2 barang lain nya jelas tipu2 setelah di download tidak bisa daftar trus tidak bisa claim voucher aplikasi sampah,Pelayanan,Negatif
satu dulu kan rumh saya di daerah pedesaan tuh jadi apa kurirnya bisa mau nyampe rumh bneran tolong di jawab yah klk emng nyampe rumh akan saya akan rating full deh bahkan saya beli 5 hp lagi di tokopedia trus buat download apknya trus buat rating full smuanya,Pelayanan,Netral
waktunya beralih ke mp yang lainnya customer care lama banget jawab pertanyaan dan tidak bisa kasih solusi pula jadi apakah masih bisa dibilang customer care customer support kalau tidak bisa support atau kasih solusi ke customernya promo cashback tidak bisa dipakai bersamaan dengan gratis ongkir belom lagi ada admin 1rb setelah kita pas2in semuanya dengan nabung emas jadi makin males buat balik ke tokopedia,Kualitas,Negatif
buruk sekali dapat vocer 30rb udah digunain harganya jadi 8rb pas udah dibayar dibatalin sistem mana saldonya gabisa di tarik lagi ahahahahhaaha kalau emng gabisaa dari awal jngn pas udah bayar tidak recommendet untuk digunakan,Harga,Negatif
woi saya belanja di alfamart total 17rb kenapa dibatalin dibalikin ke saldo refund bukan gopay ovo mau ditarik min 50 000 yang benar lah woi makan tuh duit 17rb tidak usah dibalikin capek saya udah jauh jauh ke alfamart malah dibatalkan mana baliknya bukan ke gopay ovo malah ke saldo refund mau ditarik tidak bisa,Kualitas,Netral
tolong maksudnya apa katanya promo mulai dari 100 rupiah tapi sama sekali tidak bsa diorder sampe pegel jempol tidak bisa2 diorder haduuhh jangan php donk,Harga,Netral
baru saja menggunakan aplikasi ini tapi kok semua transaksi pembayaran kok tidak ada sistim cod kaya sioren ya jadi kurang nyaman saja pakai tokopedia,Kualitas,Negatif
tokopedia pinter ngeles kemarin 2023 sudah gold sekrang anggota lagi dari awal lagi artinya bonus bebas ongkir tdak sebanyak yang pas gold dan juga tidak bisa menghargai mana member lama mana member baru sungguh kebijakan konyol,Pelayanan,Negatif
tolong dibuat update varian aplikasi buat android yang di bawah sdk21 dong pakai armv7 kasian yang os hp nya lolipop mau update gagalnih masa minimal sdknya 21 tapi targetnya di setting sdk30 mana bsa ke instal cok cok,Kualitas,Negatif
